Organism.Name	Strain	species	genus	family	order	class	phylum	superkingdom
Escherichia coli KTE155	KTE155	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE156	KTE156	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE157	KTE157	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE158	KTE158	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE159	KTE159	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE16	KTE16	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE160	KTE160	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE161	KTE161	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE162	KTE162	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE163	KTE163	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE165	KTE165	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE166	KTE166	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE167	KTE167	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE168	KTE168	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE169	KTE169	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE17	KTE17	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE170	KTE170	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE171	KTE171	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE172	KTE172	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
Escherichia coli KTE173	KTE173	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria
